value_h,rank_h,pts_last3_h,value_a,rank_a,pts_last3_a,result,difference,score,1_home_win,2_draw,3_away_win
0.508,0.45,3,0.97,0.364,1,3,-1,"""0-1""",,,
0.092,1.0,3,0.766,0.1,7,3,-1,"""1-2""",,,
0.26,0.611,0,0.558,0.45,3,3,-1,"""1-2""",,,
0.162,0.722,1,0.12,0.7,4,2,2,"""1-1""",,,
0.983,0.111,9,0.059,0.667,7,1,5,"""5-0""",,,
0.612,0.636,5,0.815,0.455,4,3,-2,"""1-3""",,,
0.466,0.6,6,0.252,0.708,2,3,-2,"""0-2""",,,
0.343,0.222,7,0.877,0.444,7,1,1,"""2-1""",,,
0.133,0.15,7,0.853,0.364,1,1,2,"""2-0""",,,
0.325,0.05,3,0.489,0.188,3,3,7,"""1-1""",,,
0.083,0.75,2,0.462,0.05,7,1,1,"""1-0""",,,
0.223,0.3,0,0.409,0.889,7,2,0,"""1-1""",,,
0.243,0.05,2,0.084,0.95,0,1,2,"""2-0""",,,
0.49,0.9,6,0.272,0.3,9,2,0,"""1-1""",,,
0.482,0.889,3,0.269,0.667,0,3,-1,"""0-1""",,,
0.208,0.9,1,0.77,0.889,4,2,0,"""1-1""",,,
0.265,0.625,0,0.282,0.25,3,1,1,"""2-1""",,,
0.123,0.6,6,0.163,0.8,2,3,-2,"""0-2""",,,
0.184,0.417,4,1.0,0.167,6,3,-3,"""0-3""",,,
0.273,0.8,6,0.661,0.8,3,3,-2,"""0-1""",,,
0.098,1.0,2,0.882,0.708,9,3,-1,"""1-3""",,,
0.278,0.111,4,0.406,0.7,6,1,3,"""4-1""",,,
0.612,0.4,2,1.0,0.1,6,3,-3,"""0-4""",,,
0.052,0.667,6,0.849,0.4,6,1,2,"""2-0""",,,
0.83,0.8,7,0.398,0.833,4,2,0,"""1-1""",,,
0.208,1.0,0,0.093,0.5,6,2,0,"""1-1""",,,
0.065,0.9,0,0.111,0.3,5,2,0,"""1-1""",,,
0.731,0.1,5,0.788,0.455,3,3,-2,"""1-3""",,,
0.381,0.8,9,0.388,0.15,4,2,0,"""2-2""",,,
0.857,0.444,0,0.336,0.111,9,2,0,"""0-0""",,,
1.0,0.15,7,0.269,0.833,6,1,1,"""2-1""",,,
0.045,0.35,3,0.126,0.6,1,3,-1,"""1-2""",,,
0.5,0.6,4,0.213,0.778,7,3,-2,"""7-0""",,,
0.44,0.667,4,0.155,0.231,0,3,-1,"""0-1""",,,
0.418,0.25,4,0.1,0.6,7,1,0,"""1-1""",,,
0.046,0.313,5,0.877,0.111,6,2,2,"""1-1""",,,
0.961,0.05,9,0.1,0.45,7,1,5,"""6-1""",,,
0.466,0.889,6,0.069,0.292,0,3,-1,"""0-1""",,,
0.138,0.889,0,0.175,0.313,6,3,-3,"""2-3""",,,
0.191,0.15,2,0.151,0.083,9,2,0,"""3-1""",,,
0.158,0.5,6,0.282,0.35,4,2,0,"""2-2""",,,
0.204,0.278,4,0.048,0.95,1,1,3,"""3-0""",,,
0.412,0.75,6,0.08,0.3,4,3,0,"""0-0""",,,
0.26,0.909,6,0.279,0.389,7,3,-1,"""1-2""",,,
0.61,0.125,9,0.609,0.313,6,3,-3,"""0-3""",,,
0.055,0.1,4,0.205,1.0,7,1,1,"""1-0""",,,
0.32,0.615,7,0.123,0.05,4,1,1,"""1-0""",,,
0.142,0.556,6,0.223,0.2,6,2,0,"""0-0""",,,
0.086,0.227,4,0.211,0.1,6,1,1,"""1-0""",,,
0.83,0.071,2,0.093,0.75,9,2,0,"""1-1""",,,
0.543,0.3,3,0.093,0.3,4,2,0,"""0-0""",,,
0.336,0.15,1,0.131,0.111,3,2,0,"""2-2""",,,
0.731,0.45,4,0.487,0.75,3,3,-2,"""1-3""",,,
0.229,0.8,4,0.051,1.0,1,1,1,"""2-1""",,,
0.045,1.0,6,0.348,0.231,1,3,-1,"""0-1""",,,
0.226,0.944,5,0.254,0.8,6,1,2,"""1-4""",,,
0.5,0.3,7,0.064,0.667,7,2,0,"""2-2""",,,
0.555,0.3,2,0.093,0.188,3,2,2,"""1-1""",,,
0.235,0.45,2,0.462,0.95,9,1,2,"""4-2""",,,
0.266,0.65,2,1.0,0.1,9,3,-4,"""2-2""",,,
0.612,0.6,2,0.409,0.667,2,3,-2,"""0-2""",,,
0.32,0.667,6,0.214,0.167,6,1,1,"""2-1""",,,
1.0,0.15,0,1.0,0.4,3,3,2,"""1-1""",,,
0.42,0.25,4,0.348,0.556,4,1,1,"""3-2""",,,
0.197,0.136,2,0.155,0.107,7,1,1,"""3-2""",,,
0.123,0.4,7,0.248,0.25,3,3,-1,"""0-1""",,,
0.356,0.25,2,1.0,0.708,9,2,0,"""2-2""",,,
0.402,0.077,5,0.218,0.444,2,1,-2,"""3-0""",,,
0.208,0.667,2,0.431,0.0625,0,3,-4,"""2-6""",,,
0.499,0.278,6,0.044,1.0,1,1,3,"""3-0""",,,
0.409,0.95,1,0.391,0.444,4,1,1,"""2-1""",,,
0.61,0.125,9,0.609,0.313,6,3,-3,"""0-3""",,,
0.184,0.125,7,0.609,0.95,6,3,-1,"""0-1""",,,
0.459,0.556,6,0.123,1.0,1,3,-1,"""1-2""",,,
0.661,0.077,7,0.108,0.188,6,1,1,"""2-1""",,,
0.857,0.278,6,0.044,0.688,6,1,3,"""3-0""",,,
0.402,0.111,9,0.059,0.667,7,1,5,"""5-0""",,,
0.083,0.636,4,0.544,0.8,3,3,-1,"""3-0""",,,
0.857,0.773,6,0.566,0.107,5,2,0,"""0-0""",,,
0.318,0.6,9,0.172,0.4,2,1,2,"""1-4""",,,
0.301,0.571,5,0.208,0.438,3,1,2,"""3-1""",,,
0.789,0.5,5,0.921,0.4,3,2,0,"""0-0""",,,
0.226,0.417,6,0.786,0.167,6,3,-3,"""0-3""",,,
0.218,0.111,9,0.059,0.667,7,1,3,"""3-0""",,,
0.038,0.2,4,0.6,0.3,7,1,1,"""1-0""",,,
0.366,0.35,7,0.877,0.778,4,3,-2,"""0-2""",,,
0.381,0.4,7,0.252,0.0625,6,1,2,"""3-3""",,,
0.509,0.5,6,0.043,0.2,4,2,0,"""0-0""",,,
0.098,0.45,2,0.084,0.95,5,1,1,"""3-1""",,,
0.678,0.438,4,0.219,0.429,5,1,3,"""3-0""",,,
0.156,0.05,9,0.048,0.45,7,1,0,"""2-2""",,,
0.336,0.25,7,0.042,0.222,3,1,0,"""3-1""",,,
0.34,0.85,3,0.1,0.667,3,3,3,"""1-2""",,,
0.743,0.15,6,0.77,0.722,6,2,0,"""0-0""",,,
0.609,0.15,6,0.279,0.167,6,1,0,"""0-0""",,,
0.203,0.9,3,0.535,0.3,4,2,0,"""1-1""",,,
0.109,1.0,2,0.882,0.25,1,3,-1,"""0-1""",,,
0.038,0.75,4,1.0,0.65,9,3,2,"""1-0""",,,
0.265,0.6,4,0.295,0.15,5,1,3,"""3-0""",,,
0.032,0.85,1,0.882,1.0,4,3,-2,"""4-2""",,,
1.0,0.1,9,0.132,0.55,3,2,4,"""5-1""",,,
0.203,0.182,2,0.172,0.75,7,2,0,"""2-2""",,,
0.237,0.615,7,0.282,0.4,7,3,1,"""1-2""",,,
0.046,0.05,7,0.235,0.75,7,2,0,"""2-0""",,,
0.32,0.4,4,0.391,0.444,3,1,1,"""1-0""",,,
0.1,0.45,5,0.093,0.95,9,1,2,"""2-0""",,,
0.5,0.389,1,0.093,0.125,4,2,0,"""1-1""",,,
0.265,0.222,7,0.207,0.5,6,1,1,"""2-1""",,,
0.34,0.35,6,0.336,0.85,4,3,-2,"""0-2""",,,
0.237,0.3,0,0.093,0.75,4,1,2,"""1-0""",,,
0.499,0.278,4,0.28,0.6,3,1,3,"""3-0""",,,
0.223,0.45,3,0.225,0.9,3,1,1,"""1-1""",,,
0.173,0.35,1,0.366,0.75,3,2,0,"""2-2""",,,
0.1,0.722,5,0.505,0.333,6,1,2,"""3-1""",,,
0.065,0.708,6,0.202,0.5,4,2,0,"""1-1""",,,
0.363,0.45,0,0.104,0.909,6,1,2,"""2-0""",,,
0.073,0.625,2,0.462,0.464,6,3,1,"""1-0""",,,
0.237,0.25,4,0.219,0.95,0,1,2,"""3-2""",,,
1.0,0.1,9,0.268,0.55,3,1,4,"""5-1""",,,
0.555,0.45,5,0.612,0.6,6,1,2,"""2-0""",,,
0.208,0.15,2,0.908,0.8,1,3,-1,"""0-1""",,,
0.502,0.3,2,0.642,0.083,7,2,0,"""1-1""",,,
0.301,0.15,2,0.558,1.0,6,3,-1,"""1-2""",,,
0.304,0.15,4,0.882,0.95,1,3,-1,"""0-2""",,,
0.237,0.15,6,0.795,0.95,0,1,-1,"""3-2""",,,
0.042,0.611,4,0.275,0.111,9,2,0,"""1-1""",,,
0.857,0.5,0,0.366,0.3,7,2,0,"""1-1""",,,
0.555,0.45,2,0.612,0.95,3,1,2,"""2-0""",,,
0.597,0.7,1,0.042,0.444,4,1,1,"""2-1""",,,
0.052,0.05,3,0.68,0.722,6,2,0,"""1-1""",,,
0.409,0.136,6,0.218,0.4,6,2,0,"""1-1""",,,
0.036,0.35,4,0.108,0.45,7,1,1,"""1-0""",,,
0.382,0.95,3,0.17,0.2,4,2,0,"""0-0""",,,
0.138,0.75,2,0.094,0.154,6,1,1,"""3-2""",,,
0.359,0.65,2,0.19,0.708,2,1,2,"""3-1""",,,
0.237,0.571,4,0.044,0.95,1,1,3,"""3-0""",,,
0.466,0.5,5,0.271,0.444,9,3,-2,"""1-4""",,,
0.466,0.889,0,0.175,0.5,6,3,-1,"""2-1""",,,
0.173,0.85,1,0.19,0.25,4,1,2,"""2-0""",,,
0.184,0.85,0,1.0,0.1,9,3,-2,"""0-4""",,,
0.054,0.15,5,0.505,0.417,3,1,2,"""3-1""",,,
0.508,0.688,6,0.155,0.6,3,3,-1,"""0-1""",,,
0.459,0.462,6,0.348,1.0,0,3,-1,"""0-1""",,,
0.099,0.8,0,0.786,0.8,0,2,0,"""0-4""",,,
0.098,0.45,3,0.435,0.5,7,3,-1,"""0-1""",,,
0.042,0.417,0,1.0,0.167,6,3,-3,"""0-3""",,,
1.0,0.85,5,0.703,0.4,1,2,2,"""0-0""",,,
0.343,0.625,4,0.348,0.2,7,3,-2,"""0-2""",,,
0.092,0.4,0,0.435,0.1,9,3,-1,"""0-1""",,,
0.578,0.85,1,0.489,0.5,1,1,3,"""2-1""",,,
0.459,0.6,4,0.123,0.8,2,1,1,"""1-0""",,,
0.208,0.071,3,0.366,0.2,4,2,0,"""1-1""",,,
0.466,0.4,4,0.563,0.45,5,3,1,"""1-0""",,,
0.26,0.6,2,0.487,0.708,2,3,-2,"""0-2""",,,
0.345,0.05,4,0.418,0.417,1,1,1,"""2-1""",,,
0.086,0.4,4,0.07,0.455,6,1,0,"""0-0""",,,
0.235,0.9,0,0.282,0.3,2,2,0,"""1-1""",,,
0.173,0.85,3,0.675,1.0,3,2,0,"""0-0""",,,
0.265,0.65,1,0.336,0.8,3,3,-2,"""0-2""",,,
0.084,0.45,3,0.573,0.6,0,3,-1,"""0-1""",,,
0.098,0.65,6,0.54,0.5,4,3,-1,"""1-2""",,,
0.226,0.75,0,0.402,0.8,2,3,-2,"""0-2""",,,
0.123,0.75,6,0.435,0.1,2,3,-1,"""1-2""",,,
0.857,0.55,3,0.68,0.438,3,2,0,"""1-1""",,,
0.208,0.15,6,0.163,0.95,6,1,7,"""7-0""",,,
0.266,0.65,2,1.0,0.1,9,3,-4,"""2-2""",,,
0.12,1.0,2,0.151,0.438,1,3,-1,"""0-1""",,,
0.612,0.778,1,0.343,0.15,4,2,-2,"""0-0""",,,
0.155,0.7,2,0.202,0.3,7,2,0,"""0-0""",,,
0.983,0.111,9,0.059,0.95,7,1,5,"""5-0""",,,
0.068,0.625,0,1.0,0.042,9,3,-3,"""1-4""",,,
0.356,0.35,6,0.731,0.15,4,2,0,"""0-0""",,,
0.501,0.15,7,0.612,0.35,3,1,2,"""2-0""",,,
0.465,0.45,6,0.104,0.409,6,1,2,"""3-1""",,,
0.133,0.75,4,0.474,0.5,3,1,2,"""3-1""",,,
0.499,0.278,3,0.097,0.1,6,1,1,"""3-2""",,,
0.173,0.111,7,0.248,0.833,0,3,1,"""0-1""",,,
0.133,0.15,7,0.069,0.222,6,1,2,"""3-1""",,,
0.235,0.95,4,0.398,0.563,1,1,1,"""1-0""",,,
0.098,0.75,4,0.475,0.222,5,2,0,"""1-1""",,,
0.035,0.6,4,0.126,0.8,2,3,-2,"""0-2""",,,
0.382,0.773,3,0.202,0.75,1,2,0,"""0-0""",,,
0.184,0.625,5,0.609,0.167,6,3,-3,"""0-3""",,,
0.345,0.9,1,0.882,0.222,4,3,0,"""1-1""",,,
0.961,0.05,9,0.084,0.45,7,1,5,"""6-1""",,,
0.478,0.625,1,0.172,0.6,9,1,2,"""2-0""",,,
0.518,0.563,1,0.565,0.591,3,1,1,"""2-1""",,,
1.0,0.278,9,0.268,0.55,3,1,4,"""5-1""",,,
0.961,0.05,9,0.1,0.45,7,1,5,"""6-1""",,,
0.643,0.15,5,0.125,0.95,0,1,7,"""1-2""",,,
0.273,0.6,4,0.248,0.286,9,3,-2,"""3-2""",,,
0.485,0.136,7,0.418,0.8,4,1,-2,"""0-2""",,,
0.366,0.35,1,0.279,0.95,7,3,1,"""1-2""",,,
0.191,0.9,2,0.07,0.5,3,2,0,"""2-2""",,,
0.402,0.611,7,0.051,0.071,5,1,1,"""1-0""",,,
0.06,0.75,1,0.391,0.722,2,1,1,"""2-1""",,,
0.49,0.222,7,0.19,0.071,7,1,1,"""2-1""",,,
0.184,0.417,6,1.0,0.167,6,2,-3,"""0-3""",,,
0.291,0.45,5,0.807,0.4,6,2,2,"""2-0""",,,
0.612,0.35,5,0.344,0.455,4,3,-2,"""1-3""",,,
0.807,0.75,2,0.535,0.4,6,1,1,"""3-2""",,,
0.743,0.35,5,0.344,0.778,4,3,-2,"""1-3""",,,
0.173,1.0,0,0.573,0.1,9,3,-1,"""0-1""",,,
1.0,0.1,9,0.268,0.55,3,1,4,"""5-1""",,,
0.068,0.417,0,1.0,0.042,6,3,-3,"""0-3""",,,
0.382,0.667,2,0.249,0.833,1,2,0,"""0-0""",,,
0.345,0.6,4,0.278,0.1,3,3,-2,"""0-2""",,,
0.185,0.05,9,0.488,0.778,4,1,3,"""3-1""",,,
0.455,1.0,2,0.435,0.25,6,3,-1,"""0-1""",,,
0.156,0.167,4,0.044,0.55,6,1,1,"""1-0""",,,
0.61,0.125,9,0.609,0.313,6,3,-3,"""0-3""",,,
0.155,0.9,2,0.064,0.15,4,2,0,"""1-1""",,,
0.518,0.05,3,0.151,0.5,7,1,1,"""2-2""",,,
1.0,0.571,3,0.703,0.833,3,2,0,"""0-0""",,,
0.035,0.6,2,0.522,0.8,2,3,-2,"""0-2""",,,
0.83,0.833,5,0.343,0.65,6,1,2,"""3-1""",,,
0.191,0.4,6,0.348,0.75,6,3,1,"""0-1""",,,
0.035,0.611,4,0.397,0.15,4,2,1,"""3-3""",,,
0.156,0.611,9,0.048,0.65,6,1,3,"""3-1""",,,
0.266,0.65,0,1.0,0.1,9,2,0,"""1-1""",,,
0.961,0.05,9,0.1,0.45,7,3,5,"""6-1""",,,
0.223,0.4,3,0.097,0.708,7,2,0,"""1-1""",,,
0.185,0.45,7,0.084,0.15,0,1,7,"""7-0""",,,
0.381,0.278,4,0.165,0.5,1,1,2,"""3-0""",,,
0.661,0.05,4,0.541,0.8,7,1,1,"""1-0""",,,
0.237,0.15,7,0.208,0.667,7,1,3,"""1-0""",,,
0.036,0.667,6,0.882,1.0,4,3,-1,"""0-1""",,,
0.466,0.6,6,0.549,0.2,4,3,-2,"""0-2""",,,
0.237,0.85,6,0.877,1.0,0,1,3,"""3-0""",,,
0.983,0.111,9,0.059,0.667,6,1,7,"""4-0""",,,
0.204,0.667,4,0.882,0.231,1,3,-1,"""0-1""",,,
0.278,0.125,4,0.22,0.688,5,1,3,"""3-0""",,,
0.807,0.222,7,0.15,0.444,4,1,1,"""2-1""",,,
0.348,0.6,4,0.882,0.2,4,3,1,"""0-2""",,,
0.508,0.667,1,0.051,0.05,6,2,0,"""2-2""",,,
0.66,0.2,4,0.172,0.8,7,1,1,"""1-0""",,,
0.117,0.05,6,0.466,0.85,7,3,-1,"""1-2""",,,
0.237,0.15,6,0.97,0.4,6,1,-1,"""0-1""",,,
0.346,0.625,4,0.609,0.167,6,3,-3,"""0-3""",,,
0.518,0.4,1,0.563,0.1,7,1,1,"""2-1""",,,
0.235,0.8,6,0.223,0.2,1,2,0,"""0-0""",,,
0.578,1.0,4,0.882,0.364,1,3,-1,"""1-2""",,,
0.272,0.071,6,0.133,0.778,6,1,2,"""1-0""",,,
0.223,0.75,2,0.213,0.65,9,2,0,"""1-1""",,,
0.185,0.75,4,0.069,0.4,7,1,2,"""0-1""",,,
0.055,0.65,2,0.211,0.15,9,1,2,"""3-1""",,,
0.13,0.625,6,1.0,0.5,7,3,-2,"""1-1""",,,
0.509,0.909,7,0.17,0.6,7,2,0,"""0-0""",,,
0.34,0.6,2,0.558,0.591,7,1,1,"""3-2""",,,
0.138,0.85,3,0.766,0.15,5,2,0,"""1-1""",,,
0.06,0.636,1,0.19,0.5,4,1,2,"""3-1""",,,
0.084,0.778,0,0.498,0.7,1,2,0,"""1-1""",,,
0.203,0.15,2,0.272,0.55,3,2,0,"""1-1""",,,
0.133,0.833,3,0.12,0.909,9,1,2,"""2-0""",,,
0.66,0.25,2,0.254,0.5,9,1,1,"""1-0""",,,
0.459,0.8,3,0.114,0.444,7,1,1,"""2-1""",,,
0.55,0.611,0,0.487,0.8,2,3,-2,"""0-2""",,,
0.032,0.9,0,0.475,0.75,9,2,0,"""1-1""",,,
0.731,0.45,4,0.397,0.15,6,1,2,"""3-2""",,,
0.304,0.15,3,0.558,0.5,4,1,1,"""3-2""",,,
0.266,0.65,2,1.0,0.1,9,3,-4,"""0-2""",,,
0.1,0.313,5,0.254,0.333,6,1,2,"""3-1""",,,
1.0,0.1,9,0.132,0.55,3,1,4,"""5-1""",,,
0.229,0.25,4,0.882,0.1,7,3,3,"""3-0""",,,
0.133,0.3,2,0.033,0.95,9,1,2,"""2-0""",,,
0.518,0.179,4,0.962,0.444,7,1,1,"""1-0""",,,
0.159,0.278,4,0.278,0.7,5,1,3,"""3-0""",,,
0.159,0.8,4,0.266,0.5,9,1,2,"""1-1""",,,
0.066,0.65,4,1.0,0.1,9,3,-1,"""1-0""",,,
0.983,0.111,9,0.059,0.667,7,1,5,"""6-1""",,,
0.363,0.591,5,0.254,0.909,9,1,2,"""2-0""",,,
1.0,0.15,3,0.566,0.55,0,1,0,"""4-3""",,,
0.612,0.45,6,0.573,1.0,1,3,-1,"""0-1""",,,
0.612,0.889,4,0.882,0.25,5,3,-2,"""2-3""",,,
0.173,0.625,0,1.0,0.083,9,2,-1,"""1-1""",,,
0.412,0.05,1,0.252,0.438,3,1,2,"""4-2""",,,
0.237,0.167,3,0.044,0.4,6,1,2,"""0-4""",,,
1.0,0.05,9,0.175,0.3,6,1,2,"""3-1""",,,
0.301,0.833,3,0.19,0.0625,9,1,2,"""2-0""",,,
0.32,0.167,1,0.22,0.071,4,1,1,"""2-1""",,,
0.266,0.65,2,1.0,0.1,9,2,-4,"""1-1""",,,
0.108,0.75,4,1.0,0.5,7,1,1,"""3-2""",,,
0.374,1.0,0,1.0,0.75,6,2,0,"""1-1""",,,
0.466,0.9,7,0.123,0.409,4,2,1,"""3-3""",,,
1.0,0.25,4,0.563,0.05,7,1,1,"""1-0""",,,
0.035,0.6,0,0.488,0.708,4,3,-2,"""0-2""",,,
0.292,0.667,6,0.042,0.722,2,2,0,"""0-0""",,,
0.208,0.75,2,0.205,0.278,6,2,0,"""1-1""",,,
0.44,1.0,0,1.0,0.8,3,3,-1,"""0-2""",,,
0.465,0.3,6,0.989,0.107,6,2,0,"""0-0""",,,
0.609,0.55,1,0.044,0.9,1,1,3,"""3-0""",,,
0.366,0.667,6,0.076,0.5,1,2,0,"""0-0""",,,
0.123,0.5,0,0.139,0.1,9,3,-2,"""0-2""",,,
0.142,0.35,2,0.122,0.75,3,2,0,"""1-1""",,,
0.346,0.35,2,0.084,0.7,5,2,0,"""1-1""",,,
0.111,0.65,2,0.68,0.75,7,2,0,"""3-3""",,,
0.44,0.889,3,0.069,0.438,0,3,-1,"""0-1""",,,
0.258,0.063,1,0.122,0.778,2,1,-2,"""1-1""",,,
0.173,0.667,2,0.431,0.292,6,3,-4,"""2-6""",,,
0.13,0.5,0,0.252,0.8,2,3,-2,"""0-2""",,,
0.301,0.136,7,0.075,0.417,7,1,1,"""2-1""",,,
0.58,0.8,4,0.094,0.083,6,3,-1,"""1-2""",,,
0.054,0.167,1,0.043,0.444,6,1,1,"""2-1""",,,
0.346,0.889,3,0.882,0.438,1,3,-1,"""0-1""",,,
0.807,0.333,4,0.882,0.95,1,3,-1,"""0-3""",,,
0.084,0.7,1,0.203,0.5,6,1,1,"""2-1""",,,
0.042,0.417,0,1.0,0.167,6,3,-3,"""0-3""",,,
0.427,0.722,3,0.15,0.75,4,1,3,"""4-3""",,,
0.278,0.667,6,0.17,0.2,4,2,0,"""0-0""",,,
0.265,0.2,1,0.235,0.9,6,1,1,"""2-1""",,,
0.466,0.15,6,0.094,0.95,4,3,-1,"""0-1""",,,
0.114,0.25,1,0.075,0.4,1,1,1,"""1-1""",,,
0.092,1.0,0,0.877,0.111,7,3,-2,"""0-2""",,,
0.343,0.222,6,0.042,0.85,4,1,1,"""1-0""",,,
0.243,0.25,9,0.807,0.15,7,2,0,"""0-0""",,,
0.482,0.1,9,0.223,0.5,3,2,0,"""1-1""",,,
0.099,0.9,4,0.409,0.75,4,2,0,"""1-1""",,,
0.162,0.722,0,0.462,0.25,9,1,1,"""3-2""",,,
0.184,1.0,0,1.0,0.5,9,3,-1,"""0-1""",,,
0.046,0.4,4,0.487,0.778,7,3,-2,"""2-2""",,,
0.34,0.85,7,0.558,0.389,0,3,-2,"""0-2""",,,
0.073,0.35,4,0.418,0.95,7,3,-1,"""0-2""",,,
0.343,0.278,7,0.97,0.85,1,3,-1,"""1-2""",,,
0.983,0.111,9,0.059,0.667,7,1,5,"""5-0""",,,
0.578,0.75,3,0.505,0.95,6,3,-1,"""0-1""",,,
0.32,0.8,3,0.558,0.464,6,1,1,"""2-3""",,,
0.325,0.1,7,0.072,0.071,4,1,1,"""3-2""",,,
0.266,0.65,2,1.0,0.1,9,3,-4,"""0-1""",,,
0.114,0.444,1,0.462,0.4,6,1,2,"""1-1""",,,
0.218,0.55,4,0.398,0.9,1,2,3,"""3-0""",,,
0.092,0.35,1,0.072,0.8,0,3,0,"""1-3""",,,
0.265,0.077,3,0.282,0.4,6,1,1,"""3-2""",,,
0.211,0.136,2,0.77,0.65,4,2,0,"""0-0""",,,
0.54,0.2,3,0.488,0.154,7,1,1,"""2-1""",,,
0.501,0.45,2,0.214,0.438,0,1,2,"""2-0""",,,
0.318,0.556,7,0.418,0.667,3,1,-2,"""1-2""",,,
0.487,0.056,2,0.348,0.708,1,3,2,"""3-3""",,,
0.185,0.278,7,0.051,0.444,4,1,1,"""3-2""",,,
0.13,0.6,7,0.418,0.708,4,3,-2,"""0-2""",,,
0.073,1.0,2,0.093,0.5,4,2,0,"""1-1""",,,
0.191,0.6,7,0.084,0.083,3,3,-1,"""1-2""",,,
0.961,0.05,7,0.1,0.45,7,1,1,"""6-1""",,,
0.359,0.563,6,0.544,0.6,1,3,-1,"""0-1""",,,
0.12,0.85,6,0.069,0.111,1,3,-1,"""1-2""",,,
0.363,0.591,3,0.214,0.25,2,1,2,"""2-0""",,,
0.345,0.3,4,0.278,0.95,1,1,1,"""4-2""",,,
0.341,0.636,5,0.788,0.455,4,3,-2,"""1-3""",,,
0.555,0.65,2,0.795,0.25,9,3,-2,"""0-2""",,,
0.162,0.889,3,0.519,1.0,6,1,1,"""2-1""",,,
1.0,0.15,2,0.522,0.95,3,3,-1,"""1-2""",,,
0.266,0.4,6,0.431,0.65,6,2,0,"""1-1""",,,
0.038,0.889,3,0.412,0.5,3,1,1,"""4-1""",,,
0.366,0.615,4,0.225,0.5,6,1,1,"""4-2""",,,
0.158,0.45,2,0.661,0.1,9,3,-2,"""1-1""",,,
0.243,0.438,4,0.165,0.6,3,1,3,"""4-1""",,,
0.983,0.111,9,0.059,0.667,7,1,5,"""5-0""",,,
0.857,0.9,2,0.788,0.708,7,2,0,"""0-0""",,,
0.325,0.563,2,0.278,0.5,1,1,2,"""3-1""",,,
0.5,0.909,2,0.466,0.9,3,2,0,"""1-1""",,,
0.597,0.222,3,0.219,0.556,7,1,1,"""2-1""",,,
0.111,0.214,3,0.093,0.3,4,2,0,"""0-0""",,,
0.807,0.15,6,0.044,0.944,6,1,7,"""4-2""",,,
0.382,0.563,0,0.435,0.0625,6,3,-1,"""0-1""",,,
0.54,0.889,4,1.0,0.85,9,1,1,"""2-3""",,,
0.273,0.65,2,1.0,0.1,9,3,0,"""1-1""",,,
0.584,0.607,7,0.155,0.85,6,1,1,"""2-1""",,,
0.574,0.25,4,0.282,0.3,7,1,1,"""1-0""",,,
0.109,0.15,4,0.6,0.1,6,1,0,"""1-1""",,,
