value_h,rank_h,pts_last3_h,value_a,rank_a,pts_last3_a,result,difference,score,1_home_win,2_draw,3_away_win
0.109,0.75,4,0.211,0.5,4,1,1,"""1-0""",,,
0.197,0.65,2,0.07,0.438,6,1,2,"""2-0""",,,
0.961,0.05,9,0.059,0.9,7,1,7,"""6-1""",,,
0.109,0.65,3,0.097,0.722,1,2,2,"""3-1""",,,
0.44,0.85,3,0.431,0.125,9,3,-2,"""0-2""",,,
0.983,0.111,9,0.1,0.667,7,1,5,"""5-0""",,,
1.0,0.85,4,0.487,0.2,3,3,-2,"""1-1""",,,
0.983,0.05,9,0.1,0.667,7,1,5,"""6-1""",,,
0.211,0.15,4,0.131,0.083,1,1,2,"""1-2""",,,
0.052,0.889,6,0.051,1.0,1,1,0,"""0-0""",,,
0.54,0.05,7,0.229,0.357,7,3,-1,"""1-2""",,,
0.363,0.25,4,0.563,0.7,3,1,2,"""2-0""",,,
0.343,0.444,6,0.275,0.556,4,1,1,"""2-1""",,,
0.551,0.5,4,0.549,0.45,3,3,-1,"""1-2""",,,
0.243,0.45,9,0.431,0.4,4,3,-1,"""1-5""",,,
0.34,0.65,1,0.175,0.833,3,1,2,"""2-0""",,,
0.525,0.7,4,0.475,0.75,0,2,0,"""1-1""",,,
0.955,0.615,2,0.326,0.556,9,1,1,"""2-1""",,,
0.743,0.6,5,0.272,0.25,2,3,-2,"""0-2""",,,
0.321,0.889,5,0.22,0.5,2,1,1,"""2-1""",,,
0.743,0.65,4,0.661,0.25,9,3,-2,"""0-2""",,,
1.0,0.1,6,0.132,0.55,3,1,4,"""5-1""",,,
0.1,0.667,6,0.795,0.136,7,3,-1,"""0-1""",,,
1.0,0.1,9,0.268,0.55,3,1,4,"""5-1""",,,
0.462,0.722,7,0.489,0.7,3,1,3,"""2-0""",,,
0.5,0.889,2,0.084,0.95,3,3,-1,"""0-1""",,,
0.243,0.5,4,0.28,0.4,3,3,3,"""1-2""",,,
0.321,0.136,3,0.044,1.0,4,1,3,"""3-0""",,,
0.073,1.0,3,0.343,0.722,1,2,0,"""0-0""",,,
0.66,0.393,3,0.203,0.444,2,1,1,"""2-1""",,,
0.318,0.75,2,1.0,0.1,1,3,0,"""1-1""",,,
0.551,0.889,1,0.412,0.1,6,3,-2,"""0-2""",,,
0.066,0.15,4,0.269,0.107,9,3,-1,"""1-2""",,,
0.156,0.5,4,1.0,0.107,0,3,-1,"""0-1""",,,
0.208,0.7,1,0.203,1.0,1,1,1,"""2-1""",,,
0.465,0.8,3,0.072,0.15,2,2,0,"""0-0""",,,
0.882,0.056,9,0.268,0.071,3,1,5,"""4-0""",,,
0.272,0.2,1,0.546,0.8,4,1,1,"""2-1""",,,
0.336,0.773,6,0.462,0.75,1,2,0,"""1-1""",,,
0.5,0.417,1,0.877,0.083,9,2,0,"""1-1""",,,
0.34,0.15,9,0.558,0.2,3,3,-2,"""3-0""",,,
0.961,0.05,9,0.059,0.3,7,1,7,"""3-0""",,,
0.381,0.2,4,0.462,1.0,7,2,0,"""2-2""",,,
0.431,0.5,3,0.122,1.0,1,2,0,"""3-2""",,,
0.17,0.55,6,0.043,0.6,9,2,0,"""2-2""",,,
0.301,0.45,0,0.19,0.7,0,1,2,"""2-0""",,,
0.035,0.375,9,0.179,0.6,7,3,-2,"""7-0""",,,
1.0,0.05,4,0.962,0.3,4,1,1,"""1-0""",,,
0.086,0.8,3,0.093,0.75,1,1,1,"""1-0""",,,
0.073,0.136,4,0.08,0.6,1,2,0,"""1-1""",,,
0.272,0.889,3,0.248,0.8,2,1,1,"""2-1""",,,
0.34,0.85,3,0.566,0.75,9,2,0,"""2-2""",,,
0.065,0.778,4,0.218,0.3,5,3,0,"""0-1""",,,
0.54,0.85,7,0.409,0.333,4,1,1,"""2-1""",,,
0.857,0.889,4,0.158,0.65,3,3,-2,"""1-3""",,,
0.265,0.45,4,0.229,0.55,3,3,-1,"""4-1""",,,
0.06,0.25,3,0.219,0.636,6,1,1,"""1-0""",,,
0.381,0.625,2,1.0,0.1,9,2,0,"""2-2""",,,
0.626,0.333,6,0.387,0.65,4,2,0,"""4-3""",,,
0.5,0.25,4,0.133,0.75,9,2,0,"""1-1""",,,
1.0,0.9,4,0.766,0.889,3,2,0,"""1-1""",,,
0.362,0.667,6,0.295,1.0,6,3,3,"""2-1""",,,
0.612,0.85,9,0.07,0.107,4,3,-1,"""1-3""",,,
0.381,0.7,4,0.633,0.1,9,1,1,"""1-0""",,,
