value_h,rank_h,pts_last3_h,value_a,rank_a,pts_last3_a,result,difference,score,1_home_win,2_draw,3_away_win
0.478,0.3,1,0.12,0.4,6,1,2,"""3-1""",,,
0.454,0.444,4,0.111,0.7,5,2,0,"""2-3""",,,
0.301,0.3,2,0.225,0.7,3,1,2,"""2-0""",,,
0.366,0.35,7,0.397,0.3,4,1,2,"""2-0""",,,
0.961,0.056,9,0.315,0.708,3,1,3,"""1-0""",,,
0.431,0.85,1,0.409,0.8,4,3,-1,"""1-2""",,,
0.26,0.9,4,0.042,0.2,4,2,0,"""1-1""",,,
0.291,0.65,2,1.0,0.6,0,2,0,"""0-2""",,,
0.455,0.944,4,1.0,0.5,9,3,-2,"""7-0""",,,
0.545,0.179,3,0.488,0.45,7,1,1,"""3-2""",,,
0.962,0.6,4,0.07,0.6,1,3,-1,"""0-1""",,,
0.983,0.05,9,0.059,0.45,7,1,5,"""5-0""",,,
0.226,0.35,3,0.165,0.65,3,1,1,"""1-0""",,,
0.609,0.125,4,0.295,0.688,5,1,3,"""3-0""",,,
0.211,1.0,2,1.0,0.75,4,2,0,"""1-1""",,,
0.035,0.85,2,0.343,0.1,2,3,-2,"""0-2""",,,
0.258,0.05,6,0.12,0.25,6,1,2,"""3-1""",,,
0.229,0.9,3,0.043,0.45,4,2,0,"""1-1""",,,
0.609,0.438,4,0.084,0.688,5,1,3,"""3-0""",,,
0.26,0.278,2,0.286,0.8,3,2,0,"""0-0""",,,
0.13,0.65,5,1.0,0.25,9,3,-2,"""0-2""",,,
0.237,0.15,6,0.208,0.167,6,1,2,"""4-2""",,,
0.961,0.05,9,0.1,0.45,7,1,5,"""6-1""",,,
0.343,0.167,7,0.08,0.722,1,2,0,"""0-0""",,,
0.046,0.1,2,0.097,0.85,6,2,0,"""3-1""",,,
0.545,0.179,3,0.172,0.071,7,1,1,"""2-1""",,,
0.278,0.556,7,0.097,0.667,5,3,-1,"""1-2""",,,
0.084,0.889,6,0.172,0.5,7,1,1,"""2-1""",,,
0.218,0.125,6,0.295,0.875,1,1,3,"""3-0""",,,
0.366,0.3,1,0.12,0.7,3,1,2,"""2-0""",,,
0.343,0.214,0,0.28,0.75,4,2,0,"""0-0""",,,
0.1,0.2,7,0.097,0.667,0,1,2,"""3-1""",,,
0.518,0.667,6,0.549,0.6,7,1,1,"""0-0""",,,
0.55,0.95,5,0.562,0.2,4,3,-2,"""0-2""",,,
0.325,0.25,6,0.387,0.2,3,3,-1,"""2-3""",,,
0.173,0.611,4,0.788,0.464,3,2,0,"""1-1""",,,
1.0,0.278,9,0.268,0.55,3,1,4,"""5-1""",,,
1.0,0.1,9,0.132,0.55,3,1,4,"""5-1""",,,
0.32,0.45,4,0.391,0.556,6,1,1,"""2-1""",,,
0.336,0.5,5,0.043,0.455,4,2,0,"""0-0""",,,
0.098,0.7,6,0.474,0.45,4,2,-1,"""0-1""",,,
0.867,0.75,0,0.108,0.5,7,1,1,"""1-0""",,,
0.466,0.05,9,0.54,0.667,7,3,-1,"""1-2""",,,
0.304,0.9,7,0.051,0.722,4,1,1,"""1-0""",,,
0.291,0.75,2,0.151,0.438,0,3,-1,"""0-1""",,,
0.266,0.65,2,1.0,0.1,9,3,-4,"""1-4""",,,
0.343,0.5,7,0.051,1.0,4,2,2,"""0-0""",,,
0.345,0.722,5,0.612,0.8,3,1,1,"""1-0""",,,
0.807,0.15,6,0.208,0.4,6,2,2,"""3-1""",,,
0.13,0.65,2,0.562,0.25,9,3,-2,"""0-2""",,,
0.508,1.0,0,0.97,0.6,9,3,-1,"""0-1""",,,
0.199,0.55,6,0.882,0.688,1,3,0,"""0-1""",,,
0.197,0.333,3,0.104,0.944,0,1,2,"""2-0""",,,
0.34,0.75,4,0.462,0.15,4,1,3,"""1-0""",,,
0.499,1.0,4,0.151,0.95,0,3,-1,"""0-1""",,,
0.237,0.15,5,0.715,0.2,4,1,2,"""1-3""",,,
0.197,0.333,3,0.104,0.438,0,1,2,"""2-0""",,,
0.111,0.625,5,1.0,0.1,9,3,-2,"""0-2""",,,
0.454,0.6,9,0.807,0.667,7,1,5,"""2-1""",,,
0.203,0.5,5,0.788,0.15,4,2,0,"""0-0""",,,
0.237,0.25,4,0.882,0.95,0,3,-1,"""1-2""",,,
0.066,0.625,0,0.343,0.75,2,3,0,"""0-2""",,,
0.211,0.4,4,0.535,0.35,4,2,0,"""1-1""",,,
0.199,0.2,6,0.558,0.5,1,3,-2,"""0-1""",,,
0.807,0.2,6,0.254,0.4,6,1,2,"""3-3",,,
0.045,0.45,3,0.069,0.429,0,3,-1,"""0-1""",,,
0.211,0.909,4,0.535,0.107,5,2,0,"""1-1""",,,
0.609,0.438,4,0.126,0.688,5,1,3,"""3-0""",,,
0.211,0.2,1,0.675,0.75,6,2,0,"""2-2""",,,
0.478,0.571,2,0.225,0.7,3,1,2,"""2-0""",,,
0.525,0.85,5,0.093,0.55,3,1,1,"""4-1""",,,
0.341,0.25,4,0.084,0.1,0,1,1,"""7-0""",,,
0.487,0.179,3,0.962,0.6,3,1,1,"""1-0""",,,
0.1,0.889,3,0.269,0.6,4,2,0,"""3-3",,,
0.525,0.438,9,0.126,0.429,1,1,3,"""3-0""",,,
0.374,0.182,4,0.398,0.6,5,2,0,"""1-1""",,,
0.362,0.889,6,0.203,0.556,7,1,1,"""2-1""",,,
0.108,0.75,3,0.206,0.071,7,1,1,"""3-2""",,,
0.226,0.563,3,0.752,0.85,7,1,-1,"""0-1""",,,
0.06,0.393,4,0.084,0.444,3,1,1,"""1-0""",,,
0.117,0.636,5,0.815,0.455,4,3,-2,"""1-3""",,,
0.038,0.6,4,0.562,0.7,3,1,3,"""4-1""",,,
0.578,0.214,6,1.0,0.722,1,2,0,"""2-1""",,,
0.578,0.75,0,0.269,0.1,0,3,-1,"""0-1""",,,
0.578,0.25,4,0.882,0.1,0,3,-1,"""0-1""",,,
0.61,0.125,9,0.609,0.167,6,3,-3,"""0-3""",,,
0.084,0.75,0,0.163,0.5,7,1,1,"""1-0""",,,
0.482,0.25,4,0.882,0.95,0,3,-1,"""0-1""",,,
0.138,0.25,4,0.084,0.95,3,3,-1,"""0-1""",,,
0.635,0.6,4,0.097,0.667,5,3,-1,"""1-2""",,,
0.961,0.05,9,0.059,0.45,7,1,5,"""5-0""",,,
0.155,0.893,6,0.398,0.15,3,2,0,"""0-0""",,,
0.543,0.944,9,0.336,1.0,3,3,-1,"""1-2""",,,
0.578,0.417,4,0.882,0.75,0,3,-1,"""0-1""",,,
0.487,0.1,6,0.125,1.0,3,2,0,"""0-0""",,,
0.13,0.65,2,1.0,0.25,9,3,-2,"""0-2""",,,
0.336,0.85,6,0.409,0.722,4,2,0,"""2-2""",,,
0.258,0.563,3,0.563,0.15,2,1,1,"""1-0""",,,
0.266,0.65,2,1.0,0.1,9,3,-4,"""0-4""",,,
1.0,0.944,9,0.786,0.167,6,2,4,"""0-3""",,,
0.499,0.55,3,0.051,0.833,3,1,1,"""4-1""",,,
0.273,0.063,6,0.248,0.778,6,1,-2,"""2-3""",,,
0.612,0.65,3,0.795,0.75,0,3,-1,"""0-1""",,,
0.084,0.222,6,0.219,0.444,6,1,1,"""2-1""",,,
0.55,0.65,7,0.343,0.25,7,3,-2,"""0-2""",,,
0.343,0.05,2,0.279,0.85,3,3,2,"""3-1""",,,
1.0,0.9,9,0.132,0.55,3,1,4,"""5-1""",,,
0.08,0.9,1,0.205,0.45,4,2,0,"""0-0""",,,
0.291,0.4,4,0.343,0.75,3,3,-1,"""0-1""",,,
0.08,0.722,1,0.612,0.65,6,1,1,"""1-0""",,,
0.578,0.25,4,0.882,0.95,0,3,-1,"""0-1""",,,
0.502,0.15,0,0.07,0.6,6,2,0,"""1-1""",,,
0.5,0.25,4,0.093,0.222,3,2,0,"""2-2""",,,
0.555,0.45,3,0.094,0.083,7,1,1,"""1-0""",,,
0.743,0.636,1,0.344,0.2,4,3,-2,"""0-2""",,,
0.084,0.167,6,0.042,0.556,6,1,1,"""2-1""",,,
0.366,0.35,7,0.397,0.3,4,1,2,"""2-0""",,,
0.499,0.063,3,0.075,0.8,7,1,1,"""2-1""",,,
0.635,0.6,5,0.409,0.55,3,3,-2,"""0-2""",,,
0.961,0.05,9,0.1,0.667,7,1,5,"""6-1""",,,
0.962,0.8,3,0.795,0.2,1,2,0,"""1-1""",,,
0.478,1.0,2,1.0,0.25,9,1,3,"""0-4""",,,
0.807,0.85,1,0.544,0.9,5,2,-1,"""1-4""",,,
0.218,0.15,1,0.398,0.722,6,1,1,"""2-1""",,,
0.111,1.0,0,0.19,0.5,4,2,0,"""2-2""",,,
0.343,0.95,2,0.398,0.2,4,2,0,"""2-2""",,,
0.197,0.333,3,0.104,0.944,0,1,2,"""2-0""",,,
0.084,0.222,1,0.385,0.556,6,1,1,"""2-1""",,,
0.035,0.05,9,0.059,0.667,7,1,5,"""5-0""",,,
0.431,0.444,6,0.807,0.5,6,3,-1,"""1-2""",,,
0.092,1.0,4,0.795,0.45,4,3,-2,"""0-2""",,,
0.612,0.333,1,0.281,0.679,4,2,0,"""1-1""",,,
0.336,0.778,1,0.043,0.15,3,2,0,"""1-1""",,,
0.035,0.6,5,0.766,0.15,2,3,-2,"""0-2""",,,
0.237,0.15,6,0.807,0.4,6,1,2,"""4-2""",,,
0.54,0.063,1,0.385,0.5,6,1,1,"""2-1""",,,
0.743,0.35,7,0.875,0.778,4,3,-2,"""1-2""",,,
0.1,0.55,2,0.165,0.75,3,1,0,"""1-0""",,,
0.431,0.15,5,0.409,0.8,3,3,-2,"""1-3""",,,
0.184,1.0,3,0.612,0.8,4,3,0,"""2-3""",,,
0.045,0.75,3,0.151,0.9,1,3,-1,"""0-1""",,,
0.807,0.688,3,0.093,0.95,0,1,1,"""3-2""",,,
0.5,0.077,4,0.462,0.1,9,2,0,"""1-1""",,,
1.0,0.063,6,0.295,0.667,6,1,1,"""4-1""",,,
0.341,0.6,4,0.558,0.778,4,3,-2,"""0-2""",,,
0.092,0.5,5,0.875,0.2,3,3,-2,"""0-2""",,,
0.502,1.0,0,1.0,0.75,1,2,0,"""0-1""",,,
0.197,0.333,3,0.104,0.95,0,1,2,"""2-0""",,,
0.525,0.05,9,0.059,0.667,7,1,5,"""6-1""",,,
0.055,0.2,1,0.205,0.75,1,1,0,"""4-0""",,,
0.374,0.75,2,1.0,0.1,1,2,0,"""1-1""",,,
0.382,0.773,3,0.051,0.563,1,1,0,"""4-3""",,,
0.092,0.611,5,0.069,0.1,1,3,-2,"""0-2""",,,
0.038,0.111,0,0.114,0.591,5,1,1,"""1-0""",,,
0.518,0.625,0,1.0,0.444,9,1,1,"""1-0""",,,
0.258,0.4,6,1.0,0.444,0,3,1,"""1-0""",,,
0.374,0.1,6,0.042,1.0,1,2,0,"""0-0""",,,
0.092,0.4,3,0.114,0.85,7,1,1,"""3-2""",,,
0.578,0.6,4,0.165,0.55,3,1,1,"""1-0""",,,
0.32,0.889,1,1.0,0.5,6,1,1,"""2-1""",,,
1.0,0.75,4,0.211,0.5,3,1,1,"""1-0""",,,
0.518,0.167,1,0.6,0.563,2,1,1,"""2-1""",,,
0.203,0.75,7,0.68,0.722,1,1,1,"""0-0""",,,
0.173,0.688,1,0.151,0.5,4,3,0,"""0-1""",,,
1.0,0.182,5,0.398,0.778,1,3,-2,"""0-0""",,,
0.518,0.077,1,0.406,0.8,7,1,1,"""2-1""",,,
0.545,0.4,0,0.68,0.15,4,3,0,"""3-1""",,,
0.807,0.444,6,0.807,0.6,1,1,1,"""3-2""",,,
0.362,0.9,1,0.6,0.75,4,1,1,"""1-3""",,,
0.1,0.833,1,0.11,0.65,6,1,2,"""3-1""",,,
0.208,0.55,6,0.295,0.75,4,2,0,"""2-1""",,,
0.962,0.7,6,0.398,0.4,6,3,0,"""0-1""",,,
0.34,0.438,6,0.044,0.9,1,1,1,"""2-1""",,,
1.0,0.333,6,0.489,0.55,3,1,1,"""2-0""",,,
0.487,0.25,2,1.0,0.1,9,2,1,"""0-1""",,,
0.466,0.889,6,0.269,0.2,6,3,-2,"""1-3""",,,
0.366,0.417,7,0.397,0.3,4,1,2,"""2-0""",,,
0.508,0.15,6,0.236,0.1,6,3,-1,"""0-1""",,,
0.155,1.0,4,0.715,0.6,3,2,0,"""1-1""",,,
0.073,0.8,0,0.219,0.6,4,2,0,"""1-1""",,,
0.465,0.773,6,0.788,0.35,3,2,0,"""0-0""",,,
0.597,0.615,1,0.541,0.417,7,1,1,"""2-1""",,,
0.092,0.6,4,0.252,0.85,2,3,-2,"""0-2""",,,
0.525,0.9,5,0.6,0.8,4,1,1,"""1-0""",,,
0.466,1.0,3,0.151,0.9,1,3,-1,"""0-1""",,,
0.455,0.75,4,0.336,0.8,7,3,-1,"""1-2""",,,
0.08,1.0,6,0.474,0.75,4,2,0,"""0-0""",,,
0.1,0.833,1,0.254,0.333,6,1,2,"""3-1""",,,
0.111,0.611,0,0.788,0.083,4,2,0,"""1-1""",,,
0.203,0.8,6,0.849,0.107,1,2,0,"""0-0""",,,
0.427,0.571,4,0.126,0.7,1,1,3,"""3-0""",,,
0.068,0.625,0,1.0,0.75,9,3,-3,"""1-4""",,,
0.184,0.15,6,0.402,0.6,6,3,-1,"""0-0""",,,
0.525,0.75,6,0.398,0.417,6,1,1,"""2-1""",,,
0.066,0.625,0,1.0,0.8,6,3,-1,"""0-1""",,,
0.13,0.95,4,0.558,0.778,9,3,-2,"""0-2""",,,
0.499,0.4,3,0.069,0.9,3,1,1,"""1-0""",,,
0.455,0.15,4,0.882,0.667,1,3,-1,"""0-1""",,,
0.073,0.2,2,0.133,0.8,4,2,0,"""0-0""",,,
0.431,0.375,7,0.962,0.75,9,2,0,"""3-1""",,,
0.173,0.1,4,0.205,0.15,4,2,0,"""2-2""",,,
1.0,0.55,4,0.042,0.083,5,2,0,"""1-1""",,,
0.321,0.563,4,0.151,0.5,3,1,1,"""4-1""",,,
0.501,0.45,3,0.397,0.464,4,1,2,"""3-1""",,,
0.584,0.833,1,0.254,0.65,6,1,2,"""3-1""",,,
0.098,0.85,6,0.97,0.455,1,3,-2,"""1-3""",,,
0.427,0.667,6,0.06,0.875,1,1,3,"""3-0""",,,
0.578,0.75,2,1.0,0.1,9,3,1,"""0-1""",,,
0.366,0.35,7,0.397,0.3,4,1,2,"""2-0""",,,
0.743,0.5,5,0.409,0.455,3,2,0,"""4-1""",,,
0.857,0.1,5,0.281,0.9,4,2,0,"""0-0""",,,
0.199,0.6,4,0.406,0.85,3,1,3,"""4-1""",,,
0.318,0.85,0,0.402,0.8,6,3,-2,"""0-1""",,,
0.58,0.556,7,0.097,0.667,5,3,-1,"""1-2""",,,
0.661,0.25,0,0.211,0.591,2,1,1,"""1-0""",,,
0.58,0.563,3,0.151,0.95,0,3,-1,"""0-1""",,,
0.073,0.55,3,0.093,0.6,4,2,0,"""1-1""",,,
0.578,0.611,4,0.501,0.75,3,1,1,"""1-0""",,,
0.208,0.563,6,0.094,1.0,6,3,-1,"""0-1""",,,
0.208,0.75,0,0.266,1.0,1,2,0,"""0-0""",,,
0.073,0.9,1,1.0,0.5,6,2,1,"""2-1""",,,
0.052,0.393,6,0.398,0.5,6,2,0,"""0-0""",,,
0.123,0.6,5,0.044,0.722,3,1,2,"""4-1""",,,
0.084,0.167,1,0.519,0.556,2,1,1,"""2-1""",,,
0.597,0.4,7,0.206,0.667,7,1,1,"""3-2""",,,
0.12,0.833,7,0.489,0.95,4,1,2,"""3-1""",,,
0.32,0.393,6,0.051,0.3,2,1,1,"""2-1""",,,
0.237,0.15,3,0.22,0.6,3,1,2,"""2-0""",,,
1.0,0.25,5,0.409,0.75,3,2,0,"""3-3""",,,
0.509,0.15,6,0.092,0.4,6,1,1,"""2-1""",,,
0.427,0.833,4,0.043,0.45,4,1,7,"""4-1""",,,
0.473,0.95,2,1.0,0.222,0,2,0,"""2-2""",,,
0.13,0.5,2,1.0,0.25,9,3,-2,"""0-2""",,,
0.197,0.333,3,0.104,0.944,0,1,2,"""2-0""",,,
0.052,0.4,2,0.609,1.0,4,2,0,"""2-2""",,,
1.0,0.1,9,0.268,0.55,3,1,4,"""5-1""",,,
0.035,0.5,5,0.072,0.55,4,3,-2,"""0-2""",,,
0.156,0.45,5,0.097,0.3,4,1,2,"""3-2""",,,
0.265,0.136,6,0.051,1.0,7,1,1,"""2-1""",,,
0.266,0.65,2,0.487,0.1,9,3,-4,"""0-2""",,,
0.789,0.444,6,0.402,0.5,1,2,-1,"""1-1""",,,
0.508,0.6,4,0.962,0.167,7,1,1,"""1-0""",,,
0.402,0.7,1,0.315,0.25,7,1,1,"""3-2""",,,
0.211,0.611,4,0.474,0.5,4,2,0,"""2-2""",,,
0.211,0.9,2,0.366,0.2,4,2,0,"""3-3""",,,
0.431,0.95,6,0.501,0.8,1,1,1,"""0-0""",,,
0.416,0.15,6,0.849,0.042,9,2,-1,"""0-1""",,,
0.092,0.6,4,0.097,0.6,5,1,3,"""3-0""",,,
0.066,0.6,4,0.097,0.667,5,3,-1,"""1-2""",,,
0.066,0.15,5,0.336,0.2,3,3,-2,"""2-3""",,,
0.197,0.333,3,0.084,0.944,0,1,2,"""2-0""",,,
0.278,0.5,2,0.252,0.1,4,3,-2,"""0-2""",,,
0.555,0.611,7,0.336,0.3,3,1,1,"""4-3""",,,
0.402,0.6,5,0.236,0.4,6,1,1,"""4-1""",,,
0.465,0.773,3,0.08,0.6,4,2,0,"""0-0""",,,
0.807,0.95,3,0.11,0.25,6,1,2,"""2-0""",,,
0.584,0.833,5,0.489,0.455,4,1,2,"""3-1""",,,
0.065,0.5,2,0.076,0.7,3,2,0,"""2-2""",,,
0.61,0.05,9,0.609,0.313,6,3,-3,"""0-3""",,,
0.612,0.563,6,0.075,1.0,4,3,1,"""1-0""",,,
0.543,0.3,7,1.0,0.409,1,2,0,"""1-1""",,,
0.06,0.625,0,1.0,0.05,9,1,1,"""1-0""",,,
0.402,1.0,0,0.97,0.1,3,3,0,"""1-1""",,,
0.44,0.25,4,0.097,0.95,0,3,-1,"""0-1""",,,
0.321,0.417,6,0.962,0.222,6,2,0,"""2-1""",,,
0.099,0.625,2,1.0,0.45,1,2,0,"""1-1""",,,
0.197,0.333,3,0.104,0.944,0,1,2,"""2-0""",,,
0.211,0.3,4,0.68,0.889,2,2,0,"""1-1""",,,
0.184,0.611,4,0.07,0.5,6,2,-1,"""1-3""",,,
0.272,1.0,2,0.28,0.5,4,3,0,"""0-2""",,,
0.612,0.1,1,0.286,0.2,3,3,-1,"""2-3""",,,
0.574,0.444,6,0.295,0.5,6,1,1,"""2-1""",,,
0.237,0.15,6,0.807,0.4,6,1,2,"""4-2""",,,
0.278,1.0,0,0.562,0.2,4,2,0,"""1-1""",,,
0.184,0.15,6,0.807,0.5,6,1,1,"""4-2""",,,
0.487,0.05,6,0.084,0.722,4,1,3,"""0-2""",,,
1.0,0.75,0,0.133,0.6,1,2,-1,"""1-1""",,,
0.123,0.85,6,0.163,0.5,1,3,-1,"""0-1""",,,
0.098,0.75,3,0.387,0.6,0,3,-1,"""0-1""",,,
0.156,0.45,3,0.044,0.7,5,1,1,"""1-0""",,,
0.278,0.222,7,0.295,0.7,5,1,3,"""3-0""",,,
0.13,0.95,5,0.875,0.667,4,3,-2,"""0-2""",,,
0.06,0.45,1,0.19,0.6,4,1,2,"""2-0""",,,
0.55,0.6,7,0.54,0.95,3,1,-2,"""3-2""",,,
0.26,0.45,0,0.279,0.5,3,3,-1,"""1-0""",,,
0.487,0.95,4,0.165,0.1,2,3,1,"""2-3""",,,
0.348,0.5,5,0.544,0.125,2,3,-2,"""0-2""",,,
0.066,0.6,4,0.097,0.667,5,3,-1,"""1-2""",,,
0.362,0.1,1,0.501,0.05,3,1,1,"""2-1""",,,
0.098,0.4,3,0.043,0.45,4,2,0,"""1-3""",,,
0.229,0.2,4,0.043,0.833,5,2,0,"""4-1""",,,
0.272,0.85,4,0.558,0.85,3,3,-2,"""0-2""",,,
0.068,0.625,0,1.0,0.0625,9,3,-3,"""1-4""",,,
0.32,0.222,6,0.123,0.556,6,1,1,"""2-1""",,,
0.555,0.9,5,0.462,0.455,3,2,0,"""0-0""",,,
0.527,0.25,1,0.139,0.2,4,2,0,"""2-2""",,,
0.34,0.8,4,0.788,0.8,3,2,0,"""0-0""",,,
0.292,0.4,3,0.139,0.75,2,2,0,"""0-0""",,,
0.073,0.5,4,0.111,0.167,3,2,0,"""1-1""",,,
0.545,0.4,3,0.609,1.0,1,1,1,"""4-1""",,,
0.345,0.167,3,0.282,0.45,7,1,1,"""3-2""",,,
0.343,0.063,3,0.206,0.071,7,1,1,"""3-2""",,,
0.098,1.0,7,0.731,0.8,4,2,0,"""0-0""",,,
0.466,0.95,6,0.266,0.2,1,3,-1,"""1-1""",,,
0.5,0.625,2,0.114,0.6,2,2,0,"""2-2""",,,
0.321,0.393,7,0.22,0.3,4,1,3,"""3-0""",,,
0.336,0.667,5,0.462,0.464,6,1,3,"""3-1""",,,
0.466,0.45,0,0.807,0.5,6,3,-1,"""0-1""",,,
0.203,0.8,6,0.202,0.75,4,2,0,"""1-1""",,,
0.045,0.45,0,0.882,0.1,9,3,-1,"""0-1""",,,
0.099,0.625,2,0.08,0.75,9,2,0,"""1-1""",,,
0.509,0.35,7,0.28,0.111,4,1,0,"""0-0""",,,
0.867,0.333,4,0.882,0.464,0,3,0,"""0-0""",,,
0.362,0.2,7,0.269,0.417,4,1,1,"""2-1""",,,
0.49,0.167,3,0.15,0.667,7,1,1,"""1-0""",,,
0.661,0.7,0,0.114,0.8,7,1,1,"""1-0""",,,
0.065,0.4,6,0.108,0.7,6,1,1,"""0-0""",,,
0.203,0.056,7,0.788,0.3,5,2,0,"""1-0""",,,
0.374,0.625,0,1.0,0.8,9,3,-2,"""2-2""",,,
1.0,0.4,2,0.044,0.45,3,2,0,"""0-0""",,,
0.49,0.167,3,0.206,0.85,7,1,1,"""3-2""",,,
